dataset,min,max,inverted,set_norm
aic_desmosome-2,0.0,255.0,False,False
aic_desmosome-3,0.0,255.0,False,False
cam_hum-airway-14500,0.0,255.0,False,False
cam_hum-airway-14771-b,0.0,255.0,False,False
jrc_ccl81-covid-1,2500.0,3000.0,True,True
jrc_choroid-plexus-2,160.0,200.0,False,True
jrc_cos7-11,150.0,350.0,False,True
jrc_cos7-1a,100.0,200.0,False,True
jrc_cos7-1b,70.0,180.0,False,True
jrc_ctl-id8-1,0.0,255.0,False,False
jrc_ctl-id8-2,0.0,255.0,False,False
jrc_ctl-id8-3,0.0,255.0,False,False
jrc_ctl-id8-4,0.0,255.0,False,False
jrc_ctl-id8-5,0.0,255.0,False,False
jrc_dauer-larva,0.0,255.0,False,False
jrc_fly-acc-calyx-1,1500.0,3500.0,True,True
jrc_fly-fsb-1,1500.0,4000.0,True,True
jrc_fly-larva-1,0.0,255.0,False,False
jrc_fly-mb-1a,0.0,255.0,False,False
jrc_fly-mb-z0419-20,500.0,2200.0,True,True
jrc_fly-vnc-1,60.0,255.0,False,True
jrc_hela-1,0.0,255.0,False,False
jrc_hela-2,0.0,255.0,False,False
jrc_hela-21,0.0,255.0,False,False
jrc_hela-22,0.0,255.0,True,True
jrc_hela-3,0.0,255.0,False,False
jrc_hela-4,18000.0,25000.0,True,True
jrc_hela-bfa,0.0,255.0,False,False
jrc_hela-h89-1,1400.0,1800.0,True,True
jrc_hela-h89-2,1500.0,2000.0,True,True
jrc_hum-airway-14953vc,0.0,255.0,False,False
jrc_jurkat-1,0.0,255.0,False,False
jrc_macrophage-2,0.0,255.0,False,False
jrc_mus-epididymis-1,0.0,255.0,False,False
jrc_mus-epididymis-2,0.0,255.0,False,False
jrc_mus-guard-hair-follicle,0.0,255.0,False,False
jrc_mus-heart-1,0.0,255.0,False,False
jrc_mus-hippocampus-1,0.0,255.0,False,False
jrc_mus-kidney,0.0,255.0,False,False
jrc_mus-kidney-2,0.0,255.0,False,False
jrc_mus-kidney-3,0.0,255.0,False,False
jrc_mus-kidney-glomerulus-2,0.0,255.0,False,False
jrc_mus-liver,0.0,255.0,False,False
jrc_mus-liver-2,0.0,255.0,False,False
jrc_mus-liver-3,0.0,255.0,False,False
jrc_mus-liver-zon-1,0.0,255.0,False,False
jrc_mus-liver-zon-2,0.0,255.0,False,False
jrc_mus-meissner-corpuscle-1,0.0,255.0,False,False
jrc_mus-meissner-corpuscle-2,0.0,255.0,False,False
jrc_mus-nacc-1,0.0,255.0,False,False
jrc_mus-pacinian-corpuscle,0.0,255.0,False,False
jrc_mus-pancreas-1,0.0,255.0,False,False
jrc_mus-pancreas-2,210.0,255.0,False,True
jrc_mus-pancreas-3,600.0,1000.0,True,True
jrc_mus-pancreas-4,0.0,255.0,False,False
jrc_mus-sc-zp104a,0.0,255.0,False,False
jrc_mus-sc-zp105a,0.0,255.0,False,False
jrc_mus-skin-1,0.0,255.0,False,False
jrc_mus-thymus-1,0.0,255.0,False,False
jrc_sum159-1,0.0,255.0,False,False
jrc_sum159-4,0.0,255.0,False,False
jrc_ut21-1413-003,0.0,255.0,False,False
jrc_zf-cardiac-1,0.0,255.0,False,False
jrc_fly-ellipsoid-body,0.0,255.0,False,True
jrc_fly-fsb-2,0.0,255.0,False,True
jrc_fly-protocerebral-bridge,0.0,255.0,False,False
jrc_hela-nz-1,-3000.0,-1000.0,True,True
jrc_mus-dorsal-striatum,7000.0,10000.0,True,True
jrc_mus-granule-neurons-1,4500.0,8000.0,False,True
jrc_mus-granule-neurons-2,6500.0,10000.0,False,True
jrc_mus-granule-neurons-3,6500.0,10000.0,False,True
jrc_mus-nacc-2,1100.0,1400.0,False,True
jrc_mus-nacc-3,0.0,100.0,False,True
jrc_mus-nacc-4,0.0,100.0,False,True
jrc_mus-dorsal-striatum-2,3000.0,5000.0,True,True
jrc_atla24-b9-2,0.0,255.0,False,False
jrc_c-elegans-bw-1,5200.0,6000.0,False,True
jrc_c-elegans-comma-1,0.0,255.0,False,False
jrc_c-elegans-dlon-1,3000.0,3300.0,False,True
jrc_c-elegans-op50-1,0.0,255.0,False,False
jrc_celegans-20250414,0.0,255.0,False,False
jrc_celegans_bw25113,32000.0,36000.0,False,True
jrc_mus-cerebellum-1,0.0,255.0,False,False
jrc_mus-cerebellum-2,34700.0,36000.0,False,True
jrc_mus-cerebellum-3,0.0,255.0,False,False
jrc_mus-cortex-3,700.0,1200.0,True,True
jrc_mus-liver-8,34800.0,36200.0,False,True
jrc_mus-pancreas-5,34500.0,36500.0,False,True
jrc_mus-pancreas-6,0.0,255.0,False,False
jrc_mus-pancreas-7,0.0,255.0,False,False
jrc_mus-salivary-1,0.0,255.0,False,False
jrc_mus-salivary-2,0.0,255.0,False,False
jrc_mus-salivary-3,0.0,255.0,False,False
jrc_zf-pancreas-1,34000.0,37000.0,False,True
jrc_mus-heart-6,29000.0,36000.0,False,True
jrc_c-elegans-P3_E5_D1_N2,0.0,255.0,False,True
jrc_mus-cortex-2,34800.0,36000.0,False,True
jrc_mus-cortex-4,34500,35500,False,True
jrc_mus-kidney-4,34500,35750,False,True